user_id,track_name,artist_name,rating,timestamp
12-685-2499,i'll sail my ship alone,ray price,5,2024-12-05 14:25:22.650160
12-685-2499,pearl's a singer,elkie brooks,4,2024-12-05 14:25:22.650238
12-685-2499,soul-crusher,white zombie,4,2024-12-05 14:25:22.650272
12-685-2499,don't you throw that mojo on me,mark selby,4,2024-12-05 14:25:22.650299
12-685-2499,oil in my lamp,the byrds,5,2024-12-05 14:25:22.650324
57-659-0167,senses working overtime,xtc,3,2024-12-05 14:25:22.651038
57-659-0167,the waltz you saved for me,john anderson,4,2024-12-05 14:25:22.651181
57-659-0167,carefree country day,buffalo springfield,4,2024-12-05 14:25:22.651261
57-659-0167,heart of stone,chris knight,4,2024-12-05 14:25:22.651296
57-659-0167,sinister footwear ii,frank zappa,3,2024-12-05 14:25:22.651324
41-168-0569,every dawg,corey smith,4,2024-12-05 14:25:22.652630
41-168-0569,the duellists,iron maiden,5,2024-12-05 14:25:22.652691
41-168-0569,no more,elvis presley,4,2024-12-05 14:25:22.652736
41-168-0569,save it for later,pete townshend,5,2024-12-05 14:25:22.652803
41-168-0569,amazed are we,maxi priest,4,2024-12-05 14:25:22.652840
20-492-6176,embraceable you,nat king cole trio,3,2024-12-05 14:25:22.653593
20-492-6176,track 10,the procussions,4,2024-12-05 14:25:22.653628
20-492-6176,sleigh ride,andy williams,3,2024-12-05 14:25:22.653657
20-492-6176,just to be loved,al jarreau,3,2024-12-05 14:25:22.653684
20-492-6176,have you ever been to hell,ziggy marley & the melody makers,4,2024-12-05 14:25:22.653709
70-494-3742,put it on me,matt maeson,5,2024-12-05 14:25:22.654242
70-494-3742,this time,janet jackson,3,2024-12-05 14:25:22.654268
70-494-3742,hypocrites,ky-mani marley,5,2024-12-05 14:25:22.654292
70-494-3742,all my tears,the frightnrs,3,2024-12-05 14:25:22.654314
70-494-3742,tipsy (remix),j-kwon,5,2024-12-05 14:25:22.654336
78-520-5212,i just want to love you,stanley clarke,4,2024-12-05 14:25:22.655176
78-520-5212,get out alive,three days grace,4,2024-12-05 14:25:22.655227
78-520-5212,reckoning,whiskey myers,3,2024-12-05 14:25:22.655262
78-520-5212,speak to me / breathe,easy star all-stars,5,2024-12-05 14:25:22.655291
78-520-5212,i got,bone thugs-n-harmony,3,2024-12-05 14:25:22.655315
04-280-3770,someday we'll look back,merle haggard,3,2024-12-05 14:25:22.655864
04-280-3770,hey you,the pharcyde,4,2024-12-05 14:25:22.655894
04-280-3770,dear me,lorrie morgan,3,2024-12-05 14:25:22.655920
04-280-3770,in my dreams,dokken,3,2024-12-05 14:25:22.655944
04-280-3770,right here,ashes remain,5,2024-12-05 14:25:22.655971
07-253-6312,spend my time,clint black,3,2024-12-05 14:25:22.656462
07-253-6312,part of me,tedeschi trucks band,4,2024-12-05 14:25:22.656489
07-253-6312,reincarnated souls,bunny wailer,4,2024-12-05 14:25:22.656513
07-253-6312,if you go,sticky fingers,4,2024-12-05 14:25:22.656534
07-253-6312,with me tonight (mono),the beach boys,4,2024-12-05 14:25:22.656555
94-589-9502,haven't got time for the pain,carly simon,3,2024-12-05 14:25:22.657277
94-589-9502,guess who's coming to dinner,black uhuru,5,2024-12-05 14:25:22.657318
94-589-9502,it takes time,the marshall tucker band,5,2024-12-05 14:25:22.657350
94-589-9502,the happiest days,slave,5,2024-12-05 14:25:22.657379
94-589-9502,the otherside,slightly stoopid,3,2024-12-05 14:25:22.657402
54-508-4679,practice,drake,5,2024-12-05 14:25:22.658162
54-508-4679,the messiah will come again,roy buchanan,3,2024-12-05 14:25:22.658206
54-508-4679,jesus,the brian jonestown massacre,5,2024-12-05 14:25:22.658237
54-508-4679,livin' for the weekend,mel mcdaniel,4,2024-12-05 14:25:22.658263
54-508-4679,spotlight,mutemath,4,2024-12-05 14:25:22.658285
15-585-8466,wait,camel,5,2024-12-05 14:25:22.658917
15-585-8466,fade away,stereo mc's,3,2024-12-05 14:25:22.658949
15-585-8466,bad & wicked,shabba ranks,3,2024-12-05 14:25:22.658975
15-585-8466,soul love,david bowie,5,2024-12-05 14:25:22.659000
15-585-8466,i'm alone in the wilderness,culture,4,2024-12-05 14:25:22.659021
61-446-6110,tryin' to untangle my mind,chris stapleton,3,2024-12-05 14:25:22.659663
61-446-6110,evil woman,the doobie brothers,3,2024-12-05 14:25:22.659705
61-446-6110,if it isn't love,new edition,3,2024-12-05 14:25:22.659735
61-446-6110,and dream of sheep,kate bush,5,2024-12-05 14:25:22.659762
61-446-6110,money changer,mavado,4,2024-12-05 14:25:22.659785
91-276-2176,(she will) take you down to love,patrice rushen,3,2024-12-05 14:25:22.660250
91-276-2176,if the house is rockin',lee roy parnell,5,2024-12-05 14:25:22.660275
91-276-2176,paradise,bee gees,3,2024-12-05 14:25:22.660297
91-276-2176,it's about time,william clark green,3,2024-12-05 14:25:22.660318
91-276-2176,white sky,vampire weekend,4,2024-12-05 14:25:22.660338
26-717-4055,kiss me,casey donahew,3,2024-12-05 14:25:22.660761
